Date,Percentage Change,BB Z-Score,RSI,sentiment_number,linear_combination_sentiment
2014-01-02,-0.014063684054271497,-0.9044940286445683,44.76664069230385,0.3125,2.2042879370144606
2014-01-03,-0.021965849293400286,-2.1702790478516527,39.128528719624306,0.0,2.495475281500646
2014-01-06,0.005453020242780937,-1.5945524664946364,43.951616805408506,0.0434782608695652,0.33889287263786627
2014-01-07,-0.007151600455496232,-1.775209308784265,40.036524309101495,0.2258064516129032,2.224530037364871
2014-01-08,0.00633285838396902,-1.2583451093511915,43.48809296014754,0.1,6.05934576032891
2014-01-09,-0.01277007271751085,-1.7643205525301395,42.191784983299335,0.0,1.8833887904810456
2014-01-10,-0.006672636646062102,-1.8306782171858704,43.49299691579298,0.0384615384615384,0.8781974798173898
2014-01-13,0.0052351578529961085,-1.3902362454976103,42.34007788839074,0.125,3.063074731647445
2014-01-14,0.01989808038011387,-0.36679745225188537,34.477351143198675,0.0909090909090909,2.676182484568519
2014-01-15,0.020077184096585654,0.6483230320257298,43.92744140682176,0.0714285714285714,4.106942163729548
2014-01-16,-0.0055798299925338135,0.36461824592570824,44.271640671721066,0.1428571428571428,-0.7584914840952336
2014-01-17,-0.02450161580328547,-0.8301743658028125,39.670212018899676,0.0,0.0
2014-01-21,0.015536240306672777,-0.08859177671894515,47.18578560250212,0.1538461538461538,-0.22531233668005715
2014-01-22,0.004443885309073803,0.12307802375832501,44.874406599156124,0.0571428571428571,3.168525340262303
2014-01-23,0.008467689016253166,0.6705878786453763,51.70296338258403,0.1785714285714285,2.1411915510997725
2014-01-24,-0.01817753441491543,-0.25578412312374044,52.908237624205896,0.1428571428571428,0.9392212593913974
2014-01-27,0.008112523827393359,0.3343760297056222,53.69144125240808,0.0808080808080808,-0.7916899955538563
2014-01-28,-0.07992740854033031,-3.222457183227177,37.01005641043912,-0.0793650793650793,4.171388754104212
2014-01-29,-0.01135239728933457,-2.719932955160602,33.75179933189243,-0.1,1.6139440528961386
2014-01-30,-0.001937102381295852,-2.276879128592976,35.35788012392443,-0.0476190476190476,1.6052482874449001
2014-01-31,0.0016406959488755035,-1.8939994451083115,36.82150701275074,0.125,1.3786143468354335
2014-02-03,0.0018577967405168927,-1.6133926302792876,35.8490411927807,0.2631578947368421,2.0508795976910728
2014-02-04,0.014475762542988102,-1.1381170194772714,33.991826380471736,0.0454545454545454,1.200396142000101
2014-02-05,0.007468656774900273,-0.8777148606656222,29.699832284423266,0.0555555555555555,1.3104135794685419
2014-02-06,-0.00015606235185305906,-0.8020180452895884,30.538976290218187,0.0714285714285714,3.2012079304892818
2014-02-07,0.013989947567813132,-0.433671972886973,39.59138692529523,-0.0181818181818181,0.21790502832399566
2014-02-10,0.017914898111931477,0.0008004966609554908,40.131724338550455,0.09375,2.6016314522949107
2014-02-11,0.013176022231044193,0.3189938204272141,42.68373365569206,0.2222222222222222,3.2442731775221687
2014-02-12,-7.462870586261161e-05,0.3460972927234888,40.03344765609862,0.0588235294117647,1.975113135784752
2014-02-13,0.015879219328088334,0.7979932993414973,49.18030951554117,0.0666666666666666,2.9518056240732493
2014-02-14,-0.0008081057593931629,0.8239341060904432,46.61113890220143,0.0588235294117647,3.586924780691394
2014-02-18,0.0036765214920668754,0.8998314299038626,86.53107324730681,0.0606060606060606,2.201025500717
2014-02-19,-0.0157878529393094,0.5196988207504148,82.16799771749595,0.1333333333333333,-1.7566071434006703
2014-02-20,-0.011574899954268303,0.2704493492648724,75.22924262111235,0.0,0.6981878364501318
2014-02-21,-0.011107984624538991,0.046746089417749326,68.32716135931031,0.0,2.9829738139453363
2014-02-24,0.004378914877506412,0.23746848155871653,68.95951617350583,0.0714285714285714,3.9315271341877525
2014-02-25,-0.010406600006623967,-0.000597656459486923,59.92521250279581,-0.15,3.271055954951981
2014-02-26,-0.009021976159238831,-0.339812354274321,53.5124029480588,-0.2631578947368421,1.8510135046524314
2014-02-27,0.019947855378471324,0.2537075755700416,59.71796463707964,0.2105263157894736,2.8603066210966297
2014-02-28,-0.0027101236283227914,0.07113597564726369,54.53915079986983,0.2571428571428571,3.4327414948796102
2014-03-03,0.0028884844899459416,0.09212911672587433,49.046076265039,-0.1333333333333333,1.8303608810180447
2014-03-04,0.006593855048990571,0.29222176078989104,46.12988208608446,-0.2058823529411764,3.983836199069775
2014-03-05,0.002108327757604611,0.316195782587444,47.13183234770291,-0.0476190476190476,2.1008132598879214
2014-03-06,-0.003024321830634835,0.061022769811015634,37.59974751336319,-0.0714285714285714,0.31508338070555586
2014-03-07,-0.0005840169769426584,-0.08568826601700906,37.68856410858499,-0.0714285714285714,0.21319111727603948
2014-03-10,0.0009048374678142235,-0.10249603453034438,35.918521817028704,0.25,4.0425039692236435
2014-03-11,0.009737808377852764,0.5532755451852075,48.721510128372636,0.2727272727272727,0.8479090420023336
2014-03-12,0.0009700032181538809,0.6179616514120511,56.15416053879031,0.0,2.0240480780543697
2014-03-13,-0.011106716588983101,-0.15629181056638422,56.07835004562908,0.2307692307692307,2.3326439994446404
2014-03-14,-0.011231566776872648,-0.8945158455498653,47.02575566874394,0.1578947368421052,0.5376197091328283
2014-03-17,0.003907133907381732,-0.5218527608228337,55.241917210495394,-0.0625,0.04392387563366183
2014-03-18,0.008846825573688877,0.44897115354083766,65.75460678023725,0.5,2.2083129629388294
2014-03-19,-0.0002634155121582493,0.5215903269596824,55.216477908327214,-0.0434782608695652,2.010693079910663
2014-03-20,-0.004818742153806732,-0.019321796770623755,53.46093265444759,0.4,1.1630024029282524
